Search rep 1 (of 2)
random seed = 35522
gen	best_like	time	optPrecision
4580	-98186.67741	169	0.451
4590	-98186.66125	169	0.451
4600	-98186.47935	170	0.451
4610	-98186.29277	170	0.451
4620	-98186.24608	171	0.451
4630	-98186.02519	171	0.451
4640	-98186.00413	171	0.451
4650	-98185.85552	172	0.451
4660	-98185.79468	172	0.451
4670	-98185.51954	173	0.451
4680	-98185.3645	173	0.451
4690	-98185.21815	173	0.451
4700	-98185.21815	174	0.451
4710	-98184.66567	174	0.451
4720	-98184.58934	175	0.451
4730	-98184.5226	175	0.451
4740	-98184.42834	175	0.451
4750	-98184.28686	176	0.451
4760	-98184.23798	176	0.451
4770	-98184.052	176	0.451
4780	-98184.052	177	0.451
4790	-98183.87633	177	0.451
4800	-98183.51045	177	0.451
4810	-98183.51045	178	0.451
4820	-98183.39955	178	0.451
4830	-98183.33175	178	0.451
4840	-98183.23901	179	0.451
4850	-98183.20418	179	0.451
4860	-98183.14451	179	0.451
4870	-98183.09748	180	0.451
4880	-98182.70767	180	0.451
4890	-98182.68022	181	0.451
4900	-98182.65868	181	0.451
4910	-98181.92981	182	0.402
4920	-98181.85553	182	0.402
4930	-98181.85421	182	0.402
4940	-98181.85421	183	0.402
4950	-98181.69192	183	0.402
4960	-98181.62258	184	0.402
4970	-98181.58568	184	0.402
4980	-98181.57383	184	0.402
4990	-98181.57383	185	0.402
5000	-98181.57383	185	0.402
5010	-98181.53841	185	0.402
5020	-98181.53841	186	0.402
5030	-98181.50257	186	0.402
5040	-98181.47675	186	0.402
5050	-98181.4679	187	0.402
5060	-98181.3792	187	0.402
5070	-98181.31789	187	0.402
5080	-98181.31789	188	0.402
5090	-98181.1592	188	0.402
5100	-98180.77481	188	0.402
5110	-98180.77481	188	0.402
5120	-98180.74368	189	0.402
5130	-98180.74368	189	0.402
5140	-98180.74368	189	0.402
5150	-98180.6238	190	0.402
5160	-98180.6238	190	0.402
5170	-98180.48807	190	0.402
5180	-98180.45661	191	0.402
5190	-98180.28396	191	0.402
5200	-98180.01931	191	0.402
5210	-98179.77006	191	0.402
5220	-98179.59432	192	0.402
5230	-98179.55004	192	0.402
5240	-98179.27691	192	0.402
5250	-98179.27691	192	0.402
5260	-98179.2414	193	0.402
5270	-98179.16801	193	0.402
5280	-98179.14235	193	0.402
5290	-98179.00976	194	0.402
5300	-98178.96482	194	0.402
5310	-98178.90651	194	0.402
5320	-98178.90651	194	0.402
5330	-98178.79596	195	0.402
5340	-98178.79596	195	0.402
5350	-98178.76456	195	0.402
5360	-98178.76456	196	0.402
5370	-98178.76456	196	0.402
5380	-98178.60507	196	0.402
5390	-98178.57043	196	0.402
5400	-98178.57043	197	0.402
5410	-98178.55023	197	0.402
5420	-98178.45036	197	0.402
5430	-98178.44492	197	0.402
5440	-98178.32037	198	0.402
5450	-98178.30067	198	0.402
5460	-98178.24066	198	0.402
5470	-98178.02134	199	0.402
5480	-98178.02134	199	0.402
5490	-98177.94032	199	0.402
5500	-98177.86099	199	0.402
5510	-98177.79081	200	0.402
5520	-98177.79081	200	0.402
5530	-98177.79081	200	0.402
5540	-98177.75061	200	0.402
5550	-98177.75061	201	0.402
5560	-98177.75061	201	0.402
5570	-98177.74269	201	0.402
5580	-98177.74269	202	0.402
5590	-98177.73188	202	0.402
5600	-98177.63579	202	0.402
5610	-98177.16283	203	0.353
5620	-98177.09247	203	0.353
5630	-98177.03699	203	0.353
5640	-98177.02142	204	0.353
5650	-98176.92496	204	0.353
5660	-98176.84752	204	0.353
5670	-98176.84752	204	0.353
5680	-98176.70498	205	0.353
5690	-98176.70498	205	0.353
5700	-98176.6509	205	0.353
5710	-98176.63985	205	0.353
5720	-98176.6249	206	0.353
5730	-98176.58184	206	0.353
