Search rep 1 (of 5)
random seed = 60728
gen	best_like	time	optPrecision
2750	-13315.94028	27	0.01
2760	-13315.94028	27	0.01
2770	-13315.94028	27	0.01
2780	-13315.94028	27	0.01
2790	-13315.94028	27	0.01
2800	-13315.94028	27	0.01
2810	-13315.94028	27	0.01
2820	-13315.94028	28	0.01
2830	-13315.94028	28	0.01
2840	-13315.94028	28	0.01
2850	-13315.94028	28	0.01
2860	-13315.94028	28	0.01
2870	-13315.94028	28	0.01
2880	-13315.94028	28	0.01
2890	-13315.94028	28	0.01
2900	-13315.94028	29	0.01
2910	-13315.94028	29	0.01
2920	-13315.93991	29	0.01
2930	-13315.93991	29	0.01
2940	-13315.93991	29	0.01
2950	-13315.93991	29	0.01
2960	-13315.93991	29	0.01
2970	-13315.93991	30	0.01
2980	-13315.93991	30	0.01
2990	-13315.93991	30	0.01
3000	-13315.93985	30	0.01
3010	-13315.93926	30	0.01
3020	-13315.93926	30	0.01
3030	-13315.93926	30	0.01
3040	-13315.93926	31	0.01
3050	-13315.93926	31	0.01
3060	-13315.93926	31	0.01
3070	-13315.93899	31	0.01
3080	-13315.93899	31	0.01
3090	-13315.93899	31	0.01
3100	-13315.91857	31	0.01
3110	-13315.91857	31	0.01
3120	-13315.91857	32	0.01
3130	-13315.91857	32	0.01
3140	-13315.90014	32	0.01
3150	-13315.87377	32	0.01
3160	-13315.87377	32	0.01
3170	-13315.87377	32	0.01
3180	-13315.87377	32	0.01
3190	-13315.87377	32	0.01
3200	-13315.87377	33	0.01
3210	-13315.87377	33	0.01
3220	-13315.87377	33	0.01
3230	-13315.87377	33	0.01
3240	-13315.8731	33	0.01
3250	-13315.8731	33	0.01
3260	-13315.8731	33	0.01
3270	-13315.8731	34	0.01
3280	-13315.8731	34	0.01
3290	-13315.8731	34	0.01
3300	-13315.87037	34	0.01
3310	-13315.87037	34	0.01
3320	-13315.87037	34	0.01
3330	-13315.87037	34	0.01
3340	-13315.86362	35	0.01
3350	-13315.86362	35	0.01
3360	-13315.86362	35	0.01
3370	-13315.86342	35	0.01
3380	-13315.86327	35	0.01
3390	-13315.86327	35	0.01
3400	-13315.86327	35	0.01
3410	-13315.858	36	0.01
3420	-13315.858	36	0.01
3430	-13315.858	36	0.01
3440	-13315.858	36	0.01
3450	-13315.858	36	0.01
3460	-13315.858	36	0.01
3470	-13315.858	36	0.01
3480	-13315.858	37	0.01
3490	-13315.858	37	0.01
3500	-13315.858	37	0.01
3510	-13315.858	37	0.01
3520	-13315.85524	37	0.01
3530	-13315.85332	37	0.01
3540	-13315.85332	37	0.01
3550	-13315.85332	37	0.01
3560	-13315.85332	38	0.01
3570	-13315.85332	38	0.01
3580	-13315.85332	38	0.01
3590	-13315.85332	38	0.01
3600	-13315.85332	38	0.01
3610	-13315.85332	38	0.01
3620	-13315.85332	39	0.01
3630	-13315.85332	39	0.01
3640	-13315.85332	39	0.01
3650	-13315.84955	39	0.01
3660	-13315.84833	39	0.01
3670	-13315.84833	39	0.01
3680	-13315.84833	39	0.01
3690	-13315.84784	39	0.01
